Specification	O	Path	Controller	Action	TODO			
Sprint	No.6.docx	3	P	/api/auth/change_email	Authentication	change_email		
Sprint	No.6.docx	4	P	/api/auth/change_password	Authentication	change_password		
	P	/api/auth/google	Authentication					
	P	/api/auth/login	Authentication					
	P	/api/auth/register	Authentication					
	P	/api/auth/reset	Authentication					
	P	/api/auth/set_password	Authentication					
	G	/api/countries	Country	GetAll				
	G	/api/files	UserFile					
	P	/api/files	UserFile					
	D	/api/files/{id}	UserFile					
	G	/api/files/{id}	UserFile					
	G	/api/files/byname/{name}	UserFile					
Specification.docx	1	G	/api/kres/{BusinessPlan}	KeyResources	MyResources			
Specification.docx	2	D	/api/kres/{resource}	KeyResources	Delete			
Specification.docx	3	G	/api/kres/categories	KeyResources	Categories			
Specification.docx	4	P	/api/kres/update	KeyResources	Update			
New	business	plan/Specification.docx	2	G	/api/languages	Languages	GetAll	
	G	/api/nace/{TitleKeyword}	NACE	GetActivitiesByKey				
	G	/api/nace/industries	NACE	GetIndustries				
	G	/api/nace/industries/{industryId}/activities	NACE	GetActivities				
Key	partners/Specification.docx	1	G	/api/par/{BusinessPlan}	KeyPartners	MyResources		
Key	partners/Specification.docx	5	G	/api/par/categories	KeyPartners	Categories		
Key	partners/Specification.docx	2	D	/api/par/distr/{resource}	KeyPartners	DeleteDistr		
Key	partners/Specification.docx	6	P	/api/par/distr/save	KeyPartners	SaveDistributor		
Key	partners/Specification.docx	4	D	/api/par/other/{resource}	KeyPartners	DeleteOther		
Key	partners/Specification.docx	8	P	/api/par/other/save	KeyPartners	SaveOther		
Key	partners/Specification.docx	3	D	/api/par/suppl/{resource}	KeyPartners	DeleteSuppl		
Key	partners/Specification.docx	7	P	/api/par/suppl/save	KeyPartners	SaveSupplier		
Sprint	No.6.docx	1	G	/api/plans	UserBusinessPlan	GetPlans		
New	business	plan/Specification.docx	1	P	/api/plans	UserBusinessPlan	AddPlan	
Key	partners/Specification.docx	9	P	/api/plans/changePartnersCompleted	UserBusinessPlan	ChangePartnersCompleted		
Specification.docx	5	P	/api/plans/changeResourcesCompleted	UserBusinessPlan	ChangeResourcesCompleted			
