bookmark;data (BusinessPlanBL.*);comment
kabada_planName;o.Title;plan title
kabada_naceCode;naceCode;plan.Activity.Code and plan.Activity.Title
kabada_bc_keyDist;keyDist;list of plan key partners-distributors
kabada_bc_keySupp;keySupp;list of plan key partners-suppliers
kabada_bc_keyAct;namesActivities;list of key activities names
kabada_bc_keyRes;keyRes;list of key resources names
kabada_bc_valProp;valProp;list of products names, containing list of product features for each product
kabada_bc_custRel;custRel;list of channels names in customer relations
kabada_bc_channels;channels;list of channel types names for a plan
kabada_bc_custSeg;custSeg;list of segments names
kabada_bc_costFixed;costFixed;list of fixed costs types for a plan
kabada_bc_costVariable;costVariable;list of variable costs types for a plan
kabada_bc_revenue;revenue;list of revenue stream types for a plan
?kabada_valProps;valProps;List<ValProp_doc>, see BL/ExportDoc/ValProp_doc.cs
