"Risk Category";"Risk Type";"Likelihood";"Severity";"Total";"Comments";"Possible country-specific deviations (Score)";"Possible country-specific deviations (Comment))"
"MACRO";"Political and legal";2;3;"Medium High";"Political and Legal turbulence in countries influences the incoming of tourist and thier image on the exterior";5;"The level and nature of these risks vary greatly from country to country."
"MACRO";"Economic";2;2;"Medium";"Depends on the type of economic risk, for instance the quality of the infrastructure (transports, airports, roads) could impact";4;"The level and nature of these risks vary substantially from country to country."
"MACRO";"Social";1;2;"Low Medium";"In Europe this risk is low, however could increase in other continents";2;"The level and nature of these risks vary slightly from country to country."
"MACRO";"Technological";2;2;"Medium";"Hospitality depends on ICT, for booking, even more tourists use this digital channels";3;"The level and nature of these risks vary to some extent from country to country."
"MACRO";"Environmental";2;3;"Medium High";"Sustainability is more than a trend, so climate changes and other environomental risks could influence this nace";4;"The level and nature of these risks vary substantially from country to country."
"INDUSTRY";"Existing competition";3;3;"High";"This Nace have big players (International Hotel Channels that have global brands and scale economy) but also small and independent hotels, campings etc, so it is very heterogenous. My evaluate was proposed for a new SME taht would like to enter in this sector";1;"The level and nature of these risks are virtually the same in all countries."
"INDUSTRY";"Potential competition";2;3;"Medium High";"The potential competitiion decrease with COVID-19, however for SME is in general high";1;"The level and nature of these risks are virtually the same in all countries."
"INDUSTRY";"Substitution possibilities";2;3;"Medium High";"The elasticity of demand in this nace tend to be higher in the long term. New possibilities such as Airnb compete with the formal hotels and more traditional  accomodattion structures";1;"The level and nature of these risks are virtually the same in all countries."
"INDUSTRY";"Power of suppliers";1;1;"Low";"Depends on the dimension. For SMEs if they privilege local suppliers the bairganing power is balanced";1;"The level and nature of these risks are virtually the same in all countries."
"INDUSTRY";"Power of buyers";2;3;"Medium High";"With ICT the booking and the availabilty of teh demand comes more transparent for the buyers and they power tend to increase in the long term";1;"The level and nature of these risks are virtually the same in all countries."
"COMPANY";"Resources: Human";2;2;"Medium";"Hospitality tends to absorve part of the less qualified workers, however new trends show that workrs are more qaulified and their role in some areas in the front office and back office, mainly realted with CRM are crucial and a key success factor";2;"The level and nature of these risks vary slightly from country to country."
"COMPANY";"Resources: Tangible";1;2;"Low Medium";"The infrastuctures of the hotels (facilities) could be a factor for the differentiation";2;"The level and nature of these risks vary slightly from country to country."
"COMPANY";"Processes";1;2;"Low Medium";"In the distribution and management tends to bemore complex due the support of the technology, however technology could also facilitate. Depends on the qualification and training of the human resources";1;"The level and nature of these risks are virtually the same in all countries."
