"Risk Category";"Risk Type";"Likelihood";"Severity";"Total";"Comments";"Possible country-specific deviations (Score)";"Possible country-specific deviations (Comment))"
"MACRO";"Political and legal";2;3;"Medium High";"F&B industry is one of the world’s most regulated businesses. Legal aspects, as health rules or strict regulation about food conservation it's expected to be more and more strict. HACCP is a food safety management system based on 7 principles that food companies have to follow very strict rules related with the amount of oil and salt they’re using, the right temperature, food storage system, expiration date, cleaning, and food transportation, for example. The goal is to ensure the safety and nutrition of clients who just want to eat and fill their appetite. ";4;"The level and nature of these risks vary substantially from country to country."
"MACRO";"Economic";2;3;"Medium High";"The covid-19 pandemic pushed the global economy into an economic recession with rising unemployment and lower purchasing power for people that become very cautious about their spending. They now avoid spending more money on luxury food and drink because of limited income. Reduced sales of food and beverage companies.";4;"The level and nature of these risks vary substantially from country to country."
"MACRO";"Social";1;2;"Low Medium";"In Europe this risk is low, but entrepreneurs needs to know the beliefs and values of the target market, diet cautions and healthy trends. In some countries, culture and religion could increase the riks. (e.g. Muslim countries)";2;"The level and nature of these risks vary slightly from country to country."
"MACRO";"Technological";2;2;"Medium";"The usage of automation technology and robots would make food preparation efficient and reduce labor costs. It would result in the form of more profitability and less human error.
It is also expected that F&B business should follow these trends and launch its online platform in order to attract more people.";3;"The level and nature of these risks vary to some extent from country to country."
"MACRO";"Environmental";2;3;"Medium High";"Sustainability is more than a trend, so climate changes and other environomental risks could influence this nace. The meat industry is leaving a very deep carbon footprint on the environment. 
Meat farmers are expanding their farms in order to feed their animals. It has led to the destruction of the forests. That’s why many people are turning into vegan food. ";4;"The level and nature of these risks vary substantially from country to country."
"INDUSTRY";"Existing competition";3;3;"High";"This Nace have big players (Fast Food Companies - global brands and scale economy) but also small and independent restaurants and bars: so it is very heterogenous. My evaluate was proposed for a new SME taht would like to enter in this sector";1;"The level and nature of these risks are virtually the same in all countries."
"INDUSTRY";"Potential competition";2;3;"Medium High";"If you’re new in the food business, then big corporations like McDonald’s, KFC, Starbucks, King Burgers, Nestle and others would be your top competitors. They’re efficient in terms of cost, taste, quality, marketing, promotion, engaging customers, etc.";1;"The level and nature of these risks are virtually the same in all countries."
"INDUSTRY";"Substitution possibilities";1;1;"Low";"Eating is essential for life. Food and beverages are the essence of life not only physiologically but also socially (Maslow Pyramid of Needs).The threat of substitute for this industry is very low. The trends of eating and drinking might change with time but overall you cannot replace the industry by a substitute. You can only substitute the meals you take in a restaurant for meals prepared at home (more healthy and cheaper).";2;"The level and nature of these risks vary slightly from country to country."
"INDUSTRY";"Power of suppliers";1;1;"Low";"The food and beverage industry is extremely dependent on agricultural products as a raw material. Agricultural production must meet the needs of the world population, however, food producing farmers are limited and large food companies have developed better relationships with these suppliers. They prefer to work with big companies because they buy mega food in mega quantities. Therefore, it is difficult for new food businesses to get a better deal with suppliers who have moderate bargaining power. Many of them are sometimes exploited on price by middlemen or large companies.";2;"The level and nature of these risks vary slightly from country to country."
"INDUSTRY";"Power of buyers";2;2;"Medium";"If customers are more powerful, their tendency to bargain increases, especially price-sensitive customers. In the case of the food industry, the customer's bargaining power is very strong, they demand good quality, a great experience and a reasonable price. If prices are set higher or they experienced a bad service, customers can leave for no reason.";2;"The level and nature of these risks vary slightly from country to country."
"COMPANY";"Resources: Human";2;2;"Medium";"F&B tends to absorb some of the less skilled workers, however, new trends show that more skilled workers are an important key success factor (eg Head Chef or cooks)";2;"The level and nature of these risks vary slightly from country to country."
"COMPANY";"Resources: Tangible";1;1;"Low";"The infrastuctures of the restaurants (facilities) could be a factor for the differentiation";2;"The level and nature of these risks vary slightly from country to country."
"COMPANY";"Processes";1;2;"Low Medium";"The experience in the F&B business process makes you cost-efficient by choosing the right combination of ingredients, instead of experience it. You can optimize the process, reducing the waste cost by preparing the right amount of food at the right time. The cost-efficiency amplifies the growth of your business.";1;"The level and nature of these risks are virtually the same in all countries."
